SYMBOL,Sector,holidays
BOMDYEING-EQ,Textiles & Apparel,
BONLON-EQ,Metals & Mining,
BORANA-EQ,Textiles & Apparel,
BOROLTD-EQ,Household Goods,
BORORENEW-EQ,Renewable Energy,
BOROSCI-EQ,Healthcare Equipment & Supplies,
BOSCH-HCIL-EQ,NO DATA,
BPL-EQ,"Computers, Phones & Household Electronics",
BRIGHOTEL-EQ,Hotels & Entertainment Services,
BRNL-EQ,Construction & Engineering,
BSL-EQ,Textiles & Apparel,
BTML-EQ,Media & Publishing,
BTTL-EQ,Textiles & Apparel,
BUILDPRO-EQ,Homebuilding & Construction Supplies,
BUTTERFLY-EQ,Household Goods,
BVCL-EQ,Construction Materials,
BYKE-EQ,Hotels & Entertainment Services,
CAMLINFINE-EQ,Chemicals,
CAMPUS-EQ,Textiles & Apparel,
CANTABIL-EQ,Textiles & Apparel,
CAPACITE-EQ,Construction & Engineering,
CAPILLARY-EQ,Software & IT Services,
CAPITALSFB-EQ,Banking Services,
CARERATING-EQ,Professional & Commercial Services,
CARRARO-EQ,Automobiles & Auto Parts,
CARYSIL-EQ,Homebuilding & Construction Supplies,
CCAVENUE-EQ,Financial Technology (Fintech) & Infrastructure,
CCCL-EQ,Construction & Engineering,
CCHHL-EQ,Hotels & Entertainment Services,
CEIGALL-EQ,Construction & Engineering,
CEINSYS-EQ,Software & IT Services,
CELEBRITY-EQ,Textiles & Apparel,
CELLO-EQ,Household Goods,
CENTENKA-EQ,Textiles & Apparel,
CENTEXT-EQ,Metals & Mining,
CENTRUM-EQ,Banking Services,
CENTUM-EQ,"Machinery, Equipment & Components",
CENTURYPLY-EQ,Paper & Forest Products,
CERA-EQ,Homebuilding & Construction Supplies,
CEWATER-EQ,Water Utilities,
CHEMCON-EQ,Chemicals,
CHEMPLASTS-EQ,Chemicals,
CHEVIOT-EQ,Textiles & Apparel,
CIFL-EQ,Banking Services,
CINELINE-EQ,Hotels & Entertainment Services,
CINEVISTA-EQ,Media & Publishing,
CLEANMAX-EQ,Electrical Utilities & IPPs,
CLSEL-EQ,Food & Tobacco,
CMPDI-EQ,Professional & Business Education,
CMSINFO-EQ,Professional & Commercial Services,
CNL-EQ,Professional & Commercial Services,
COASTCORP-EQ,Food & Tobacco,
COCKERILL-EQ,NO DATA,
COFFEEDAY-EQ,Hotels & Entertainment Services,
COMFINTE-EQ,NO DATA,
COMPUSOFT-EQ,Software & IT Services,
COMSYN-EQ,Containers & Packaging,
CONFIPET-EQ,Oil & Gas,
CONSOFINVT-EQ,Banking Services,
CONTROLPR-EQ,"Machinery, Equipment & Components",
CORALFINAC-EQ,Construction & Engineering,
CORDSCABLE-EQ,"Machinery, Equipment & Components",
CORONA-EQ,Pharmaceuticals,
COSMOFIRST-EQ,Containers & Packaging,
COUNCODOS-EQ,Construction & Engineering,
CPEDU-EQ,Miscellaneous Educational Service Providers,
CRAMC-EQ,Investment Banking & Investment Services,
CREATIVEYE-EQ,Media & Publishing,
CREST-EQ,Investment Banking & Investment Services,
CRIZAC-EQ,Miscellaneous Educational Service Providers,
CROWN-EQ,Professional & Commercial Services,
CSBBANK-EQ,Banking Services,
CSLFINANCE-EQ,Banking Services,
CTE-EQ,Software & IT Services,
CUBEXTUB-EQ,Metals & Mining,
CUPID-EQ,Personal & Household Products & Services,
CYBERTECH-EQ,Software & IT Services,
CYIENTDLM-EQ,"Machinery, Equipment & Components",
DAICHI-EQ,Diversified Retail,
DALMIASUG-EQ,Food & Tobacco,
DAMCAPITAL-EQ,Investment Banking & Investment Services,
DAMODARIND-EQ,Textiles & Apparel,
DANGEE-EQ,Food & Tobacco,
DATAMATICS-EQ,Software & IT Services,
DAVANGERE-EQ,Food & Tobacco,
DBCORP-EQ,Media & Publishing,
DBEIL-EQ,Construction & Engineering,
DBL-EQ,Construction & Engineering,
DBSTOCKBRO-EQ,Investment Banking & Investment Services,
DCAL-EQ,Pharmaceuticals,
DCBBANK-EQ,Banking Services,
DCM-EQ,Metals & Mining,
DCMSRIND-EQ,Food & Tobacco,
DCW-EQ,Chemicals,
DCXINDIA-EQ,Aerospace & Defense,
DDEVPLSTIK-EQ,Chemicals,
DECCANCE-EQ,Construction Materials,
DECNGOLD-EQ,NO DATA,
DEEPINDS-EQ,Oil & Gas Related Equipment and Services,
DELPHIFX-EQ,Investment Banking & Investment Services,
DELTACORP-EQ,Hotels & Entertainment Services,
DELTAMAGNT-EQ,"Machinery, Equipment & Components",
DEN-EQ,Media & Publishing,
DENORA-EQ,"Machinery, Equipment & Components",
DENTA-EQ,Construction & Engineering,
DEVIT-EQ,Software & IT Services,
DEVX-EQ,Professional & Commercial Services,
DGCONTENT-EQ,Media & Publishing,
DHAMPURSUG-EQ,Food & Tobacco,
DHANBANK-EQ,Banking Services,
DHANUKA-EQ,Chemicals,
DHARMAJ-EQ,Chemicals,
DHUNINV-EQ,Chemicals,
DIACABS-EQ,"Machinery, Equipment & Components",
DIAMINESQ-EQ,Chemicals,
DIAMONDYD-EQ,Food & Tobacco,
DICIND-EQ,Chemicals,
DIFFNKG-EQ,"Machinery, Equipment & Components",
DIGIDRIVE-EQ,Software & IT Services,
DIGITIDE-EQ,Software & IT Services,
DIGJAMLMTD-EQ,Textiles & Apparel,
DISAQ-EQ,NO DATA,
DIVGIITTS-EQ,Automobiles & Auto Parts,
DJML-EQ,Professional & Commercial Services,
DLINKINDIA-EQ,Communications & Networking,
DMCC-EQ,Chemicals,
DNAMEDIA-EQ,Media & Publishing,
DODLA-EQ,Food & Tobacco,
DOLATALGO-EQ,Investment Banking & Investment Services,
DOLLAR-EQ,Textiles & Apparel,
DOLPHIN-EQ,Oil & Gas Related Equipment and Services,
DONEAR-EQ,Textiles & Apparel,
DPABHUSHAN-EQ,Specialty Retailers,
DPWIRES-EQ,Metals & Mining,
DRAGARWQ-EQ,NO DATA,
DRCSYSTEMS-EQ,Software & IT Services,
DREAMFOLKS-EQ,Transport Infrastructure,
DREDGECORP-EQ,Transport Infrastructure,
DSFCL-EQ,NO DATA,
DSSL-EQ,Software & IT Services,
DTIL-EQ,Food & Tobacco,
DVL-EQ,Chemicals,
DWARKESH-EQ,Food & Tobacco,
DYCL-EQ,"Machinery, Equipment & Components",
DYNAMATECH-EQ,Automobiles & Auto Parts,
DYNPRO-EQ,Chemicals,
E2E-EQ,Software & IT Services,
EASEMYTRIP-EQ,Hotels & Entertainment Services,
EBGNG-EQ,"Computers, Phones & Household Electronics",
ECOSMOBLTY-EQ,Passenger Transportation Services,
