Symbol,Sector,holidays
NTPC-EQ,Power,
NH-EQ,Healthcare,
NATIONALUM-EQ,Metals & Mining,
NAVA-EQ,Power,
NAVINFLUOR-EQ,Chemicals,
NESTLEIND-EQ,Fast Moving Consumer Goods,
NETWEB-EQ,Information Technology,
NEULANDLAB-EQ,Healthcare,
NEWGEN-EQ,Information Technology,
NAM-INDIA-EQ,Financial Services,
NIVABUPA-EQ,Financial Services,
NUVAMA-EQ,Financial Services,
NUVOCO-EQ,Construction Materials,
OBEROIRLTY-EQ,Realty,
ONGC-EQ,Oil Gas & Consumable Fuels,
OIL-EQ,Oil Gas & Consumable Fuels,
OLAELEC-EQ,Automobile and Auto Components,
OLECTRA-EQ,Automobile and Auto Components,
PAYTM-EQ,Financial Services,
ONESOURCE-EQ,Healthcare,
OFSS-EQ,Information Technology,
POLICYBZR-EQ,Financial Services,
PCBL-EQ,Chemicals,
PGEL-EQ,Consumer Durables,
PIIND-EQ,Chemicals,
PNBHOUSING-EQ,Financial Services,
PTCIL-EQ,Capital Goods,
PVRINOX-EQ,Media Entertainment & Publication,
PAGEIND-EQ,Textiles,
PARADEEP-EQ,Chemicals,
PATANJALI-EQ,Fast Moving Consumer Goods,
PERSISTENT-EQ,Information Technology,
PETRONET-EQ,Oil Gas & Consumable Fuels,
PFIZER-EQ,Healthcare,
PHOENIXLTD-EQ,Realty,
PWL-EQ,Consumer Services,
PIDILITIND-EQ,Chemicals,
PINELABS-EQ,Financial Services,
PIRAMALFIN-EQ,Financial Services,
PPLPHARMA-EQ,Healthcare,
POLYMED-EQ,Healthcare,
POLYCAB-EQ,Capital Goods,
POONAWALLA-EQ,Financial Services,
PFC-EQ,Financial Services,
POWERGRID-EQ,Power,
PREMIERENE-EQ,Capital Goods,
PRESTIGE-EQ,Realty,
PNB-EQ,Financial Services,
RRKABEL-EQ,Capital Goods,
RBLBANK-EQ,Financial Services,
RECLTD-EQ,Financial Services,
RHIM-EQ,Capital Goods,
RITES-EQ,Construction,
RADICO-EQ,Fast Moving Consumer Goods,
RVNL-EQ,Construction,
RAILTEL-EQ,Telecommunication,
RAINBOW-EQ,Healthcare,
RKFORGE-EQ,Automobile and Auto Components,
REDINGTON-EQ,Services,
RELIANCE-EQ,Oil Gas & Consumable Fuels,
RPOWER-EQ,Power,
SBFC-EQ,Financial Services,
SBICARD-EQ,Financial Services,
SBILIFE-EQ,Financial Services,
SJVN-EQ,Power,
SRF-EQ,Chemicals,
SAGILITY-EQ,Information Technology,
SAILIFE-EQ,Healthcare,
SAMMAANCAP-EQ,Financial Services,
MOTHERSON-EQ,Automobile and Auto Components,
SAPPHIRE-EQ,Consumer Services,
SARDAEN-EQ,Metals & Mining,
SAREGAMA-EQ,Media Entertainment & Publication,
SCHAEFFLER-EQ,Automobile and Auto Components,
SCHNEIDER-EQ,Capital Goods,
SCI-EQ,Services,
SHREECEM-EQ,Construction Materials,
SHRIRAMFIN-EQ,Financial Services,
SHYAMMETL-EQ,Capital Goods,
ENRIN-EQ,Capital Goods,
SIEMENS-EQ,Capital Goods,
SIGNATURE-EQ,Realty,
SOBHA-EQ,Realty,
SOLARINDS-EQ,Chemicals,
SONACOMS-EQ,Automobile and Auto Components,
SONATSOFTW-EQ,Information Technology,
STARHEALTH-EQ,Financial Services,
SBIN-EQ,Financial Services,
